sex,Age,Married,Number_children,,total_members,gained_asset,durable_asset,save_asset,living_expenses,other_expenses,,,,,incoming_agricultural,farm_expenses,,lasting_investment,no_lasting_investmen,depressed
1,66,0,1,,2,28912201,49647648,23399979,2162075,72069163,,,,,84080696,11388708,,57655334,11388708,0
1,44,0,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,35,1,4,,6,89500557,16912231,23399979,26692283,12251758,,,,,30028818,26692283,,2595838,40038424,0
1,30,1,5,,7,7063584,26489423,23399979,97426834,19218445,,,,,18417675,15348064,,10071271,16736061,0
1,21,1,2,,4,28912201,24407423,23399979,12011528,26505438,,,,,1040999,85014915,,27843167,85014915,0
1,28,1,4,,6,28912201,98334373,23399979,10009606,17616907,,,,,20019212,70067245,,10057652,24623632,0
1,57,1,1,,5,82890149,35634198,23399979,16682677,24023054,,,,,65396094,40583391,,12396957,23276783,0
1,47,0,1,,2,68983716,18097368,23399979,18684598,43401653,,,,,9982914,54140849,,88762701,12167233,0
1,59,0,1,,4,26505453,10009606,23399979,1601537,172966,,,,,18684598,15570499,,13060536,53607001,0
1,22,1,3,,5,28912201,13532988,23399979,53384566,42921192,,,,,14680757,43997784,,17465207,5520854,0
1,29,1,4,,6,30635769,74951935,23399979,53384566,2898782,,,,,66730708,18907036,,12000153,29917603,0
1,60,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
0,51,0,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,29,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,30,1,6,,8,20206248,15454832,23399979,21086905,58456101,,,,,15348064,48824638,,41746924,3090744,0
1,76,0,5,,7,51428009,14413833,23399979,10409991,98686707,,,,,80076849,40705733,,54310773,13813257,0
1,21,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,28,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,19,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
0,38,1,5,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,27,1,3,,5,20651573,1601537,23399979,16682677,10602175,,,,,41639962,96981966,,18881296,3835503,0
1,26,1,1,,3,12390944,1753683,23399979,18497753,57495178,,,,,21353827,69444423,,1965677,93467484,0
1,40,0,1,,2,24164206,22645734,16015369,11210759,22261364,,,,,28827665,46711496,,53792639,15075801,0
1,23,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,26,1,2,,4,36350497,32751431,32030739,21433905,26841761,,,,,24023056,12345181,,75828381,49821144,1
1,27,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,26,1,2,,4,21617699,17376677,23399979,25624592,49487492,,,,,80076847,12678834,,44199371,28694205,0
1,35,0,0,,1,78475975,27114023,16015369,33365355,12652143,,,,,33365354,27804462,,36723309,25118549,0
1,51,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,20,1,2,,4,12390944,53651489,23399979,26692283,24023056,,,,,53384566,4448714,,70847046,4448714,0
1,72,0,5,,9,20651573,22085196,23399979,70067245,94490681,,,,,24023054,20019212,,25976105,24289978,0
1,23,1,2,,4,37172832,32655341,24023054,17349985,46925034,,,,,10676913,21131392,,36564807,32048534,0
1,33,0,3,,4,41303146,24743747,23399979,1508114,19298521,,,,,98761454,19018252,,349599,68265514,0
1,28,1,2,,4,12390944,25896854,23399979,80076847,8664315,,,,,16015369,77407622,,34022559,94757605,0
1,49,1,4,,8,20651573,57815485,96092224,18684598,16655985,,,,,21687479,56732225,,69009406,26599974,0
1,59,1,6,,8,5184104,26905823,23399979,28961128,21220366,,,,,8701684,3994945,,81949933,22038929,0
1,20,1,3,,5,19851755,21812933,23399979,26692283,32671356,,,,,22421518,24690363,,22577571,11677874,0
1,40,1,5,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,31,1,4,,6,16521257,16095447,23399979,40038424,41880192,,,,,95024529,28471768,,19188956,12029322,0
1,38,0,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,32,0,3,,5,86736603,21220366,11210759,33365355,24775778,,,,,3203074,26692283,,3085495,11797989,0
1,40,0,6,,8,86736603,17264569,23399979,66730709,89205612,,,,,80076847,11544412,,27539764,12632123,0
1,47,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
0,65,0,1,,3,35524435,21941057,3203074,26692283,48046112,,,,,10676913,54986105,,6339118,28453974,0
1,31,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,47,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,25,1,2,,4,17142671,17072385,23399979,40038425,32030739,,,,,28026897,48279667,,34791608,61892729,0
1,22,1,4,,6,5714122,29628435,23399979,72069162,19378597,,,,,24356709,20297256,,86769653,83708115,0
1,27,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,53,1,0,,3,83646683,26105054,23399979,24023056,18417675,,,,,82479153,54274311,,36551721,54274311,0
1,26,1,3,,5,34285342,33872507,23399979,44309193,24823824,,,,,20553058,80248127,,73603076,17634035,0
1,32,1,4,,6,5714122,16207555,23399979,66063399,36194736,,,,,33365355,97871703,,22434169,21531776,0
1,18,1,3,,4,37172832,80557312,23399979,26692283,20819981,,,,,54719181,42262781,,13054245,42262781,0
0,64,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,28,0,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,54,1,0,,2,17968733,18433691,23399979,56053796,14413833,,,,,42707653,3558971,,38052008,3558971,0
1,56,0,0,,1,28912201,1040999,23399979,69399939,26137083,,,,,30028818,31363432,,18417675,10676913,1
1,37,1,5,,7,6712542,14894295,80076847,13346142,67264557,,,,,93422985,52806234,,22567758,14863153,1
1,22,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,28,1,3,,5,388964,14782187,48046112,13613064,23702747,,,,,40038424,33365354,,18880026,76847086,0
1,35,1,1,,5,71461603,35313892,23399979,46711493,22357456,,,,,81411467,67842889,,11037896,4682271,0
0,43,1,2,,6,82606293,10563738,1601537,41373043,34913507,,,,,20286135,23911839,,20019113,34688847,1
1,27,1,2,,4,41303144,15887247,23399979,12011527,14093526,,,,,98761454,11344221,,16492462,57722061,0
1,62,1,0,,2,18381764,56053795,23399979,26692283,92889147,,,,,24023056,20019212,,24627759,20019212,0
1,70,1,3,,7,36763528,13132603,23399979,17349985,59256868,,,,,30028818,31363432,,53099207,,1
1,32,1,5,,8,12390944,12491988,23399979,93422994,68465706,,,,,93422991,34477535,,14692004,1732774,0
1,38,1,0,,2,38002625,325112,1601537,46711496,26745668,,,,,30028818,31363432,,73396594,73670708,0
